 2018-05-02 21:09:42,444 StockWatcher - start program 
 2018-05-02 21:09:42,447 Start watching MSFT: Price: 20 
 2018-05-02 21:09:42,447 MSFT	20 
 2018-05-02 21:09:42,449 Start watching GOOG: Price: 20 
 2018-05-02 21:09:42,450 GOOG	20 
 2018-05-02 21:09:42,450 Start watching AAPL: Price: 20 
 2018-05-02 21:09:42,451 AAPL	20 
 2018-05-02 21:09:42,452 Start watching AMZN: Price: 20 
 2018-05-02 21:09:42,452 AMZN	20 
 2018-05-02 21:11:42,450 MSFT	25 
 2018-05-02 21:11:42,452 AAPL	25 
 2018-05-02 21:11:42,452 GOOG	25 
 2018-05-02 21:11:42,459 AMZN	25 
 2018-05-02 21:13:42,459 AAPL	30 
 2018-05-02 21:13:42,462 GOOG	30 
 2018-05-02 21:13:42,465 MSFT	30 
 2018-05-02 21:13:42,470 AMZN	30 
 2018-05-02 21:15:42,467 GOOG	30 
 2018-05-02 21:15:42,471 AAPL	30 
 2018-05-02 21:15:42,478 MSFT	30 
 2018-05-02 21:15:42,480 AMZN	30 
 2018-05-02 21:17:42,469 GOOG	30 
 2018-05-02 21:17:42,472 AAPL	30 
 2018-05-02 21:17:42,479 MSFT	30 
 2018-05-02 21:17:42,481 AMZN	30 
 2018-05-02 21:19:42,470 GOOG	20 
 2018-05-02 21:19:42,472 AAPL	20 
 2018-05-02 21:19:42,479 MSFT	20 
 2018-05-02 21:19:42,481 AMZN	20 
 2018-05-02 21:21:42,478 AAPL	20 
 2018-05-02 21:21:42,479 GOOG	20 
 2018-05-02 21:21:42,483 MSFT	20 
 2018-05-02 21:21:42,489 AMZN	20 
 2018-05-02 21:23:42,479 AAPL	25 
 2018-05-02 21:23:42,480 GOOG	25 
 2018-05-02 21:23:42,484 MSFT	25 
 2018-05-02 21:23:42,490 AMZN	25 
 2018-05-02 21:25:42,488 GOOG	30 
 2018-05-02 21:25:42,489 AAPL	30 
 2018-05-02 21:25:42,492 MSFT	30 
 2018-05-02 21:25:42,497 AMZN	30 
 2018-05-02 21:27:42,494 AAPL	30 
 2018-05-02 21:27:42,496 GOOG	30 
 2018-05-02 21:27:42,498 MSFT	30 
 2018-05-02 21:27:42,503 AMZN	30 
 2018-05-02 21:29:42,495 AAPL	30 
 2018-05-02 21:29:42,497 GOOG	30 
 2018-05-02 21:29:42,499 MSFT	30 
 2018-05-02 21:29:42,504 AMZN	30 
 2018-05-02 21:31:42,606 AAPL	20 
 2018-05-02 21:31:42,606 GOOG	20 
 2018-05-02 21:31:42,607 MSFT	20 
 2018-05-02 21:31:42,607 AMZN	20 
